T/s,ref/rad,theta 1/rad,theta 2/rad
0.0129,0,-0.00037871,-0.000349777
0.013,0,-0.000380784,-0.000349549
0.0131,0,-0.000382334,-0.000349579
0.0132,0,-0.000383239,-0.000350004
0.0133,0,-0.000383456,-0.00035087
0.0134,0,-0.000383046,-0.000352109
0.0135,0,-0.00038216,-0.000353544
0.0136,0,-0.000381008,-0.000354934
0.0137,0,-0.000379816,-0.000356019
0.0138,0,-0.000378795,-0.000356554
0.0139,0,-0.000378108,-0.000356351
0.014,0,-0.000377845,-0.000355308
0.0141,0,-0.000378012,-0.000353413
0.0142,0,-0.00037854,-0.00035075
0.0143,0,-0.000379281,-0.000347491
0.0144,0,-0.000380017,-0.000343886
0.0145,0,-0.000380488,-0.00034024
0.0146,0,-0.000380411,-0.000336882
0.0147,0,-0.000379516,-0.000334132
0.0148,0,-0.000377574,-0.000332261
0.0149,0,-0.000374442,-0.000331444
0.015,0,-0.000370091,-0.000331727
0.0151,0,-0.000364616,-0.000333014
0.0152,0,-0.000358219,-0.000335086
0.0153,0,-0.000351177,-0.000337639
0.0154,0,-0.000343808,-0.000340323
0.0155,0,-0.00033643,-0.000342786
0.0156,0,-0.000329331,-0.000344709
0.0157,0,-0.00032274,-0.000345843
0.0158,0,-0.00031681,-0.000346025
0.0159,0,-0.000311602,-0.000345196
0.016,0,-0.000307074,-0.000343416
0.0161,0,-0.000303084,-0.00034086
0.0162,0,-0.000299407,-0.000337797
0.0163,0,-0.000295766,-0.000334555
0.0164,0,-0.000291878,-0.000331469
0.0165,0,-0.000287493,-0.000328838
0.0166,0,-0.000282425,-0.000326883
0.0167,0,-0.000276596,-0.000325708
0.0168,0,-0.000270057,-0.000325262
0.0169,0,-0.000262987,-0.000325351
0.017,0,-0.000255654,-0.000325678
0.0171,0,-0.000248363,-0.0003259
0.0172,0,-0.000241416,-0.00032568
0.0173,0,-0.000235069,-0.000324734
0.0174,0,-0.000229499,-0.000322865
0.0175,0,-0.000224768,-0.00032001
0.0176,0,-0.000220803,-0.000316262
0.0177,0,-0.000217404,-0.000311857
0.0178,0,-0.000214293,-0.000307125
0.0179,0,-0.000211156,-0.000302434
0.018,0,-0.000207696,-0.000298138
0.0181,0,-0.000203662,-0.000294531
0.0182,0,-0.000198891,-0.000291812
0.0183,0,-0.000193337,-0.000290045
0.0184,0,-0.000187097,-0.000289129
0.0185,0,-0.000180396,-0.000288814
0.0186,0,-0.000173551,-0.000288745
0.0187,0,-0.000166913,-0.000288528
0.0188,0,-0.000160814,-0.000287788
0.0189,0,-0.000155527,-0.000286221
0.019,0,-0.000151222,-0.000283634
0.0191,0,-0.000147935,-0.000279992
0.0192,0,-0.000145546,-0.000275441
0.0193,0,-0.000143797,-0.000270281
0.0194,0,-0.000142341,-0.000264918
0.0195,0,-0.000140804,-0.000259788
0.0196,0,-0.000138836,-0.0002553
0.0197,0,-0.000136156,-0.000251785
0.0198,0,-0.000132592,-0.000249448
0.0199,0,-0.000128121,-0.000248324
0.02,0,-0.000122884,-0.000248257
0.0201,0,-0.000117164,-0.000248931
0.0202,0,-0.00011133,-0.000249928
0.0203,0,-0.000105775,-0.000250802
0.0204,0,-0.000100864,-0.000251137
0.0205,0,-9.69E-05,-0.0002506
0.0206,0,-9.40E-05,-0.000248988
0.0207,0,-9.23E-05,-0.000246275
0.0208,0,-9.16E-05,-0.000242626
0.0209,0,-9.16E-05,-0.000238376
0.021,0,-9.20E-05,-0.000233963
0.0211,0,-9.22E-05,-0.00022986
0.0212,0,-9.20E-05,-0.000226503
0.0213,0,-9.11E-05,-0.000224245
0.0214,0,-8.92E-05,-0.0002233
0.0215,0,-8.64E-05,-0.000223702
0.0216,0,-8.27E-05,-0.000225283
0.0217,0,-7.86E-05,-0.000227703
0.0218,0,-7.43E-05,-0.000230511
0.0219,0,-7.03E-05,-0.000233222
0.022,0,-6.71E-05,-0.000235384
0.0221,0,-6.49E-05,-0.000236631
0.0222,0,-6.38E-05,-0.000236739
0.0223,0,-6.41E-05,-0.000235666
0.0224,0,-6.54E-05,-0.000233576
0.0225,0,-6.76E-05,-0.000230816
0.0226,0,-7.02E-05,-0.000227848
0.0227,0,-7.27E-05,-0.000225174
0.0228,0,-7.49E-05,-0.000223268
0.0229,0,-7.62E-05,-0.000222533
0.023,0,-7.65E-05,-0.000223254
0.0231,0,-7.57E-05,-0.000225562
0.0232,0,-7.37E-05,-0.000229406
0.0233,0,-7.09E-05,-0.000234558
0.0234,0,-6.75E-05,-0.000240633
0.0235,0,-6.39E-05,-0.000247137
0.0236,0,-6.07E-05,-0.00025352
0.0237,0,-5.82E-05,-0.000259243
0.0238,0,-5.70E-05,-0.000263845
0.0239,0,-5.72E-05,-0.000267014
0.024,0,-5.90E-05,-0.000268635
0.0241,0,-6.21E-05,-0.00026882
0.0242,0,-6.65E-05,-0.00026788
0.0243,0,-7.15E-05,-0.00026627
0.0244,0,-7.69E-05,-0.00026452
0.0245,0,-8.21E-05,-0.000263159
0.0246,0,-8.67E-05,-0.000262653
0.0247,0,-9.03E-05,-0.000263353
0.0248,0,-9.29E-05,-0.000265452
0.0249,0,-9.44E-05,-0.000268939
0.025,0,-9.50E-05,-0.000273593
0.0251,0,-9.51E-05,-0.000279008
0.0252,0,-9.50E-05,-0.000284663
0.0253,0,-9.54E-05,-0.000290005
0.0254,0,-9.66E-05,-0.000294528
0.0255,0,-9.89E-05,-0.000297832
0.0256,0,-0.000102541,-0.000299687
0.0257,0,-0.000107565,-0.000300077
0.0258,0,-0.000113752,-0.000299214
0.0259,0,-0.000120739,-0.000297509
0.026,0,-0.000128051,-0.000295498
0.0261,0,-0.00013518,-0.000293761
0.0262,0,-0.000141651,-0.000292837
0.0263,0,-0.000147082,-0.000293163
0.0264,0,-0.00015123,-0.000295013
0.0265,0,-0.000154036,-0.000298454
0.0266,0,-0.000155639,-0.000303323
0.0267,0,-0.000156365,-0.00030924
0.0268,0,-0.000156673,-0.000315676
0.0269,0,-0.000157077,-0.000322035
0.027,0,-0.000158069,-0.000327745
0.0271,0,-0.000160061,-0.000332328
0.0272,0,-0.000163333,-0.000335454
0.0273,0,-0.000167987,-0.000337
0.0274,0,-0.000173922,-0.000337073
0.0275,0,-0.000180841,-0.000336008
0.0276,0,-0.000188298,-0.00033431
0.0277,0,-0.000195774,-0.00033257
0.0278,0,-0.000202755,-0.000331374
0.0279,0,-0.000208793,-0.000331232
0.028,0,-0.00021356,-0.000332518
0.0281,0,-0.000216893,-0.000335417
0.0282,0,-0.000218824,-0.000339891
0.0283,0,-0.000219588,-0.000345666
0.0284,0,-0.000219585,-0.000352279
0.0285,0,-0.000219312,-0.000359157
0.0286,0,-0.000219281,-0.000365706
0.0287,0,-0.00021996,-0.000371385
0.0288,0,-0.000221713,-0.000375769
0.0289,0,-0.000224755,-0.000378604
0.029,0,-0.000229112,-0.000379854
0.0291,0,-0.000234608,-0.000379717
0.0292,0,-0.000240887,-0.000378595
0.0293,0,-0.000247471,-0.000377033
0.0294,0,-0.000253843,-0.00037562
0.0295,0,-0.000259515,-0.000374916
0.0296,0,-0.000264087,-0.000375378
0.0297,0,-0.000267303,-0.000377299
0.0298,0,-0.000269091,-0.000380761
0.0299,0,-0.000269587,-0.000385608
0.03,0,-0.000269117,-0.000391465
0.0301,0,-0.000268146,-0.000397794
0.0302,0,-0.0002672,-0.000403991
0.0303,0,-0.000266785,-0.000409469
0.0304,0,-0.000267329,-0.000413736
0.0305,0,-0.00026912,-0.000416454
0.0306,0,-0.000272263,-0.000417498
0.0307,0,-0.000276656,-0.000416981
0.0308,0,-0.000281997,-0.000415246
0.0309,0,-0.00028783,-0.000412811
0.031,0,-0.000293626,-0.000410283
0.0311,0,-0.000298859,-0.000408264
0.0312,0,-0.000303075,-0.000407274
0.0313,0,-0.000305941,-0.000407696
0.0314,0,-0.000307297,-0.000409716
0.0315,0,-0.000307185,-0.000413284
0.0316,0,-0.000305857,-0.000418112
0.0317,0,-0.000303731,-0.000423719
0.0318,0,-0.000301323,-0.000429514
0.0319,0,-0.000299161,-0.000434886
0.032,0,-0.000297726,-0.000439284
0.0321,0,-0.000297387,-0.000442276
0.0322,0,-0.000298362,-0.000443612
0.0323,0,-0.000300672,-0.000443262
0.0324,0,-0.000304131,-0.000441438
0.0325,0,-0.000308367,-0.000438562
0.0326,0,-0.000312885,-0.000435204
0.0327,0,-0.000317144,-0.000431982
0.0328,0,-0.000320638,-0.000429478
0.0329,0,-0.000322955,-0.000428166
0.033,0,-0.00032383,-0.000428352
0.0331,0,-0.000323194,-0.000430116
0.0332,0,-0.000321192,-0.000433295
0.0333,0,-0.000318165,-0.000437497
0.0334,0,-0.000314601,-0.000442166
0.0335,0,-0.000311042,-0.000446675
0.0336,0,-0.000308016,-0.000450419
0.0337,0,-0.000305965,-0.000452889
0.0338,0,-0.000305194,-0.000453734
0.0339,0,-0.000305825,-0.000452808
0.034,0,-0.000307773,-0.000450211
0.0341,0,-0.000310744,-0.000446277
0.0342,0,-0.000314287,-0.000441523
0.0343,0,-0.000317867,-0.000436563
0.0344,0,-0.000320946,-0.000432017
0.0345,0,-0.000323039,-0.000428446
0.0346,0,-0.00032376,-0.000426294
0.0347,0,-0.000322873,-0.000425837
0.0348,0,-0.000320325,-0.000427141
0.0349,0,-0.000316259,-0.000430048
0.035,0,-0.000310993,-0.000434199
0.0351,0,-0.000304977,-0.000439083
0.0352,0,-0.000298736,-0.000444104
0.0353,0,-0.000292795,-0.000448665
0.0354,0,-0.000287619,-0.000452238
0.0355,0,-0.000283563,-0.000454419
0.0356,0,-0.000280827,-0.000454985
0.0357,0,-0.000279427,-0.000453921
0.0358,0,-0.000279197,-0.000451422
0.0359,0,-0.000279816,-0.000447863
0.036,0,-0.000280855,-0.000443738
0.0361,0,-0.000281847,-0.000439592
0.0362,0,-0.000282341,-0.000435946
0.0363,0,-0.000281963,-0.000433235
0.0364,0,-0.000280456,-0.00043176
0.0365,0,-0.000277726,-0.000431637
0.0366,0,-0.000273863,-0.000432767
0.0367,0,-0.000269139,-0.000434843
0.0368,0,-0.00026397,-0.000437395
0.0369,0,-0.000258844,-0.000439866
0.037,0,-0.000254244,-0.000441703
0.0371,0,-0.000250588,-0.00044243
0.0372,0,-0.000248172,-0.000441708
0.0373,0,-0.000247123,-0.000439393
0.0374,0,-0.000247372,-0.000435564
0.0375,0,-0.000248653,-0.000430529
0.0376,0,-0.000250551,-0.000424769
0.0377,0,-0.000252569,-0.000418856
0.0378,0,-0.000254208,-0.000413366
0.0379,0,-0.000255029,-0.000408811
