T/s,theta 1 velocity/rad/s, theta 2  velocity/rad/s
0.0162,0.4745313,0.369522582
0.0163,0.489842466,0.35554914
0.0164,0.500083929,0.347136058
0.0165,0.504285291,0.345391319
0.0166,0.502130724,0.350675146
0.0167,0.493953766,0.362605932
0.0168,0.480659937,0.380148648
0.0169,0.463720971,0.40162026
0.017,0.445109232,0.42476578
0.0171,0.427036354,0.447057425
0.0172,0.411639312,0.466053345
0.0173,0.400706849,0.479710051
0.0174,0.395482726,0.486607105
0.0175,0.396553959,0.486074747
0.0176,0.403825132,0.478223185
0.0177,0.416571792,0.46388154
0.0178,0.433540552,0.444483232
0.0179,0.452874103,0.422151438
0.018,0.472337205,0.399441032
0.0181,0.489655715,0.378951449
0.0182,0.502820638,0.36297928
0.0183,0.510319599,0.353253776
0.0184,0.511284096,0.350768603
0.0185,0.505568808,0.355691032
0.0186,0.493851009,0.367247158
0.0187,0.477498581,0.383872667
0.0188,0.458500395,0.403292983
0.0189,0.439208996,0.422817873
0.019,0.421941757,0.439798587
0.0191,0.408647753,0.452008567
0.0192,0.400721679,0.457855671
0.0193,0.398890942,0.456510925
0.0194,0.403186331,0.44794184
0.0195,0.412972301,0.432877459
0.0196,0.426950101,0.412803334
0.0197,0.44310658,0.390019742
0.0198,0.459081146,0.367223847
0.0199,0.472582407,0.347034711
0.02,0.481677157,0.331663009
0.0201,0.496176804,0.310032129
0.0202,0.507297497,0.2922405
0.0203,0.51160893,0.282240468
0.0204,0.50998435,0.279035603
0.0205,0.503538463,0.281352255
0.0206,0.493594775,0.287677142
0.0207,0.481535675,0.296428982
0.0208,0.468689841,0.306087387
0.0209,0.456249258,0.315287851
0.021,0.445192329,0.322909915
0.0211,0.436126033,0.328258789
0.0212,0.429306281,0.331042189
0.0213,0.42472764,0.331267395
0.0214,0.422195851,0.329158094
0.0215,0.421390085,0.325083044
0.0216,0.421915665,0.319495686
0.0217,0.423347786,0.312884081
0.0218,0.425266653,0.305730695
0.0219,0.427284442,0.298481535
0.022,0.42906463,0.291524027
0.0221,0.430334356,0.285172865
0.0222,0.430890602,0.279662934
0.0223,0.430601098,0.275148257
0.0224,0.429400922,0.271705875
0.0225,0.427306531,0.269319619
0.0226,0.424532085,0.267746005
0.0227,0.421446514,0.26656325
0.0228,0.41847743,0.265281532
0.0229,0.416045538,0.263418253
0.023,0.414476873,0.260598546
0.0231,0.413741048,0.256854334
0.0232,0.413502117,0.252566283
0.0233,0.413292223,0.248265761
0.0234,0.41272928,0.244387575
0.0235,0.411564082,0.241216259
0.0236,0.409655199,0.23891427
0.0237,0.406949827,0.237543544
0.0238,0.403552519,0.236985934
0.0239,0.399757649,0.236905312
0.024,0.395970532,0.236837821
0.0241,0.392623128,0.236288501
0.0242,0.389988373,0.234944824
0.0243,0.388150279,0.232711216
0.0244,0.387046622,0.229660103
0.0245,0.386426058,0.226079483
0.0246,0.385873981,0.222442697
0.0247,0.384907498,0.219300155
0.0248,0.383169892,0.217058784
0.0249,0.380602421,0.215785015
0.025,0.377409666,0.215243961
0.0251,0.373956363,0.215017293
0.0252,0.37067114,0.21461339
0.0253,0.367949005,0.213579124
0.0254,0.365984253,0.211692014
0.0255,0.364783491,0.208945362
0.0256,0.364233165,0.205470667
0.0257,0.364130107,0.20150222
0.0258,0.364109219,0.197458179
0.0259,0.363701485,0.1938741
0.026,0.362458188,0.191261778
0.0261,0.360244736,0.189773966
0.0262,0.357230251,0.189216165
0.0263,0.353771849,0.189178762
0.0264,0.350310615,0.189156006
0.0265,0.347283698,0.188646642
0.0266,0.344945666,0.187359262
0.0267,0.343357708,0.185224789
0.0268,0.342446056,0.182329355
0.0269,0.34204143,0.178868765
0.027,0.341807765,0.175228371
0.0271,0.341294193,0.171923397
0.0272,0.340044817,0.169474097
0.0273,0.337903446,0.168058051
0.0274,0.335019418,0.167503553
0.0275,0.331731512,0.16742216
0.0276,0.328464299,0.167327222
0.0277,0.325653139,0.166719655
0.0278,0.323564403,0.165294564
0.0279,0.322270055,0.16297054
0.028,0.321691049,0.159839776
0.0281,0.321542099,0.156229507
0.0282,0.32138548,0.152640073
0.0283,0.320723708,0.149639207
0.0284,0.319200081,0.147634433
0.0285,0.316770976,0.14667547
0.0286,0.313662658,0.146503251
0.0287,0.310256966,0.146680592
0.0288,0.305272088,0.148686644
0.0289,0.293267589,0.158793686
0.029,0.276389888,0.174549209
0.0291,0.2565208,0.193803059
0.0292,0.235469006,0.214485794
0.0293,0.214861018,0.234732964
0.0294,0.196091524,0.252942358
0.0295,0.180235308,0.267875797
0.0296,0.167999404,0.278714707
0.0297,0.159709864,0.285075906
0.0298,0.155330729,0.286990425
0.0299,0.154510032,0.284851244
0.03,0.156646061,0.279337746
0.0301,0.160909691,0.271390735
0.0302,0.166221546,0.262239546
0.0303,0.171416371,0.253213693
0.0304,0.175391027,0.245573123
0.0305,0.177329927,0.240251365
0.0306,0.17677467,0.237775694
0.0307,0.173606342,0.238286625
0.0308,0.167992338,0.241597976
0.0309,0.160323316,0.247268469
0.031,0.151143803,0.254680767
0.0311,0.14108159,0.263122048
0.0312,0.130852876,0.271777479
0.0313,0.121217514,0.279781133
