T/s,ref/rad,theta 1/rad,theta 2/rad
0.0133,0,-0.003181888,-0.002992319
0.0134,0,-0.003181226,-0.002991181
0.0135,0,-0.003181672,-0.002987883
0.0136,0,-0.003182943,-0.002982761
0.0137,0,-0.003184614,-0.002976317
0.0138,0,-0.003186162,-0.002969159
0.0139,0,-0.003187031,-0.002961939
0.014,0,-0.003186685,-0.002955282
0.0141,0,-0.003184681,-0.002949711
0.0142,0,-0.003180716,-0.002945586
0.0143,0,-0.00317468,-0.00294305
0.0144,0,-0.003166664,-0.002942016
0.0145,0,-0.003156955,-0.002942173
0.0146,0,-0.003145994,-0.002943035
0.0147,0,-0.003134328,-0.002943995
0.0148,0,-0.00312255,-0.002944395
0.0149,0,-0.003111225,-0.002943608
0.015,0,-0.003100827,-0.002941111
0.0151,0,-0.003091679,-0.002936556
0.0152,0,-0.003083908,-0.002929818
0.0153,0,-0.003077437,-0.002921007
0.0154,0,-0.003071994,-0.002910456
0.0155,0,-0.003067152,-0.002898673
0.0156,0,-0.003062382,-0.002886286
0.0157,0,-0.003057115,-0.002873966
0.0158,0,-0.003050801,-0.002862365
0.0159,0,-0.00304297,-0.002852042
0.016,0,-0.003033284,-0.002843406
0.0161,0,-0.003021587,-0.002836659
0.0162,0,-0.003007932,-0.002831761
0.0163,0,-0.002992578,-0.002828441
0.0164,0,-0.002975958,-0.002826227
0.0165,0,-0.00295863,-0.002824505
0.0166,0,-0.002941215,-0.002822589
0.0167,0,-0.00292433,-0.002819796
0.0168,0,-0.002908531,-0.002815516
0.0169,0,-0.002894251,-0.002809276
0.017,0,-0.002881753,-0.0028008
0.0171,0,-0.002871087,-0.002790055
0.0172,0,-0.002862088,-0.002777252
0.0173,0,-0.002854395,-0.00276283
0.0174,0,-0.002847495,-0.002747395
0.0175,0,-0.002840788,-0.00273166
0.0176,0,-0.002833649,-0.002716361
0.0177,0,-0.002825496,-0.002702187
0.0178,0,-0.002815847,-0.002689711
0.0179,0,-0.002804377,-0.002679328
0.018,0,-0.002790966,-0.002671199
0.0181,0,-0.002775721,-0.002665224
0.0182,0,-0.002758962,-0.00266106
0.0183,0,-0.002741182,-0.002658167
0.0184,0,-0.002722995,-0.002655867
0.0185,0,-0.00270506,-0.002653427
0.0186,0,-0.002688011,-0.002650147
0.0187,0,-0.002672376,-0.002645446
0.0188,0,-0.002658515,-0.002638936
0.0189,0,-0.002646569,-0.002630478
0.019,0,-0.002636445,-0.002620201
0.0191,0,-0.00262784,-0.002608474
0.0192,0,-0.002620283,-0.00259586
0.0193,0,-0.002613199,-0.002583038
0.0194,0,-0.002605977,-0.002570728
0.0195,0,-0.002598038,-0.002559615
0.0196,0,-0.0025889,-0.002550271
0.0197,0,-0.00257825,-0.002543075
0.0198,0,-0.002565993,-0.002538159
0.0199,0,-0.002552269,-0.002535385
0.02,0,-0.002537424,-0.002534377
0.0201,0,-0.002521387,-0.002535235
0.0202,0,-0.002504078,-0.002538054
0.0203,0,-0.002486012,-0.002542245
0.0204,0,-0.002467826,-0.002547079
0.0205,0,-0.002450056,-0.002551945
0.0206,0,-0.002433113,-0.002556369
0.0207,0,-0.002417275,-0.002560034
0.0208,0,-0.002402684,-0.002562776
0.0209,0,-0.002389356,-0.002564576
0.021,0,-0.0023772,-0.002565539
0.0211,0,-0.002366046,-0.002565859
0.0212,0,-0.00235568,-0.002565778
0.0213,0,-0.002345879,-0.002565552
0.0214,0,-0.002336429,-0.002565427
0.0215,0,-0.002327142,-0.002565615
0.0216,0,-0.002317865,-0.00256629
0.0217,0,-0.002308488,-0.002567577
0.0218,0,-0.002298943,-0.002569554
0.0219,0,-0.0022892,-0.002572251
0.022,0,-0.002279268,-0.002575657
0.0221,0,-0.002269185,-0.002579728
0.0222,0,-0.002259012,-0.00258439
0.0223,0,-0.002248828,-0.00258955
0.0224,0,-0.002238721,-0.002595106
0.0225,0,-0.00222878,-0.002600951
0.0226,0,-0.002219085,-0.002606992
0.0227,0,-0.002209683,-0.00261317
0.0228,0,-0.002200584,-0.002619471
0.0229,0,-0.002191753,-0.002625931
0.023,0,-0.002183121,-0.002632628
0.0231,0,-0.002174601,-0.002639654
0.0232,0,-0.00216613,-0.002647084
0.0233,0,-0.00215768,-0.002654943
0.0234,0,-0.00214927,-0.00266321
0.0235,0,-0.002140948,-0.002671828
0.0236,0,-0.002132782,-0.002680717
0.0237,0,-0.002124848,-0.002689788
0.0238,0,-0.002117221,-0.002698954
0.0239,0,-0.002109954,-0.00270815
0.024,0,-0.002103066,-0.002717353
0.0241,0,-0.002096534,-0.002726589
0.0242,0,-0.0020903,-0.002735921
0.0243,0,-0.002084287,-0.002745433
0.0244,0,-0.00207842,-0.002755213
0.0245,0,-0.002072637,-0.002765324
0.0246,0,-0.002066913,-0.002775797
0.0247,0,-0.002061266,-0.002786608
0.0248,0,-0.002055756,-0.002797686
0.0249,0,-0.002050464,-0.002808937
0.025,0,-0.00204546,-0.002820277
0.0251,0,-0.00204079,-0.002831655
0.0252,0,-0.002036456,-0.002843065
0.0253,0,-0.002032421,-0.002854548
0.0254,0,-0.002028619,-0.002866179
0.0255,0,-0.002024973,-0.002878044
0.0256,0,-0.002021413,-0.002890221
0.0257,0,-0.002017885,-0.002902772
0.0258,0,-0.002014362,-0.002915724
0.0259,0,-0.002010863,-0.002929056
0.026,0,-0.002007447,-0.002942696
0.0261,0,-0.002004207,-0.002956538
0.0262,0,-0.00200123,-0.00297048
0.0263,0,-0.001998577,-0.00298445
0.0264,0,-0.001996271,-0.002998424
0.0265,0,-0.001994288,-0.003012425
0.0266,0,-0.001992572,-0.003026517
0.0267,0,-0.00199105,-0.003040783
0.0268,0,-0.001989651,-0.003055302
0.0269,0,-0.001988317,-0.003070141
0.027,0,-0.001987014,-0.003085334
0.0271,0,-0.00198575,-0.003100875
0.0272,0,-0.001984575,-0.003116701
0.0273,0,-0.001983572,-0.003132717
0.0274,0,-0.001982822,-0.00314883
0.0275,0,-0.001982382,-0.003164974
0.0276,0,-0.001982269,-0.003181127
0.0277,0,-0.001982459,-0.003197315
0.0278,0,-0.001982893,-0.003213608
0.0279,0,-0.001983493,-0.00323009
0.028,0,-0.001984186,-0.003246847
0.0281,0,-0.001984913,-0.003263941
0.0282,0,-0.001985657,-0.003281396
0.0283,0,-0.001986442,-0.003299179
