T/s,theta 1 torque/Nm,theta 2 torque/Nm
0.0173,1.759959979,1.449656005
0.0174,1.765782487,1.457021478
0.0175,1.768935572,1.463347695
0.0176,1.769869081,1.468124433
0.0177,1.769055002,1.470858252
0.0178,1.766898827,1.471148097
0.0179,1.763697481,1.468715251
0.018,1.759622851,1.463422853
0.0181,1.754718963,1.455279626
0.0182,1.748831656,1.444441543
0.0183,1.741615243,1.431270078
0.0184,1.732603795,1.416298695
0.0185,1.721358673,1.40013834
0.0186,1.707531706,1.383316037
0.0187,1.69089231,1.366203827
0.0188,1.671346395,1.349004273
0.0189,1.648939547,1.33175093
0.019,1.623903166,1.314244504
0.0191,1.596651425,1.29606844
0.0192,1.567752491,1.276652827
0.0193,1.537769052,1.255437205
0.0194,1.507168509,1.23196652
0.0195,1.476280099,1.20593972
0.0196,1.44527918,1.177228993
0.0197,1.414187502,1.145880373
0.0198,1.382808234,1.112177119
0.0199,1.350739524,1.07662257
0.02,1.317448769,1.039873401
0.0201,1.282433686,1.002572941
0.0202,1.245300989,0.965252244
0.0203,1.205796024,0.928280669
0.0204,1.163819913,0.891847376
0.0205,1.119429559,0.85596207
0.0206,1.072902305,0.820393155
0.0207,1.024721643,0.784686524
0.0208,0.975515119,0.748233946
0.0209,0.925894075,0.710441255
0.021,0.876361665,0.67082893
0.0211,0.82726884,0.62908349
0.0212,0.778798657,0.585077776
0.0213,0.730967727,0.538870963
0.0214,0.68356346,0.490769943
0.0215,0.636160605,0.441309152
0.0216,0.58818581,0.391180207
0.0217,0.539080379,0.341061437
0.0218,0.488394564,0.291515067
0.0219,0.435833546,0.242933856
0.022,0.381274575,0.195519333
0.0221,0.324766377,0.149280923
0.0222,0.266592146,0.103974351
0.0223,0.207252661,0.059122232
0.0224,0.147394695,0.0140854
0.0225,0.087646225,-0.031806649
0.0226,0.028526589,-0.07910016
0.0227,-0.02959563,-0.128160786
0.0228,-0.086488161,-0.179152355
0.0229,-0.141981405,-0.232036431
0.023,-0.196037007,-0.286510517
0.0231,-0.248770457,-0.342025082
0.0232,-0.30044179,-0.397847038
0.0233,-0.351390871,-0.453141277
0.0234,-0.401971601,-0.507052319
0.0235,-0.452489891,-0.558779776
0.0236,-0.50315189,-0.607640767
0.0237,-0.554027149,-0.653194974
0.0238,-0.605029417,-0.695282947
0.0239,-0.655837314,-0.734064224
0.024,-0.705915103,-0.769989084
0.0241,-0.754657717,-0.803740942
0.0242,-0.801478067,-0.836101454
0.0243,-0.845857962,-0.867769051
0.0244,-0.8873981,-0.899280172
0.0245,-0.925854249,-0.930976516
0.0246,-0.961153541,-0.962991601
0.0247,-0.993390651,-0.995245706
0.0248,-1.02288692,-1.027390648
0.0249,-1.050169404,-1.058849785
0.025,-1.075901566,-1.088910195
0.0251,-1.100797147,-1.116896426
0.0252,-1.125457854,-1.142273076
0.0253,-1.150291072,-1.164697738
0.0254,-1.175485956,-1.184044226
0.0255,-1.201009445,-1.200401899
0.0256,-1.22655092,-1.214132249
0.0257,-1.251561713,-1.22584041
0.0258,-1.275357554,-1.23629405
0.0259,-1.297291942,-1.246309126
0.026,-1.316845883,-1.256569872
0.0261,-1.333667804,-1.267544668
0.0262,-1.347598882,-1.279465338
0.0263,-1.358676034,-1.292328627
0.0264,-1.367171912,-1.305839979
0.0265,-1.373580928,-1.319442013
0.0266,-1.378576353,-1.332394874
0.0267,-1.382902801,-1.343899217
0.0268,-1.38720345,-1.353273294
0.0269,-1.39193801,-1.360032807
0.027,-1.397358909,-1.363921979
0.0271,-1.40350701,-1.364921045
0.0272,-1.410148087,-1.363241645
0.0273,-1.416793219,-1.359370435
0.0274,-1.422769192,-1.354014864
0.0275,-1.427334774,-1.347997676
0.0276,-1.429847786,-1.342072042
0.0277,-1.429834076,-1.336812343
0.0278,-1.427018288,-1.33256345
0.0279,-1.42133535,-1.329428466
0.028,-1.412919763,-1.327268482
0.0281,-1.402155953,-1.325655178
0.0282,-1.389647516,-1.323920479
0.0283,-1.37613799,-1.321270384
0.0284,-1.362352962,-1.316969915
0.0285,-1.348873499,-1.310442795
0.0286,-1.336086151,-1.301316103
0.0287,-1.324166992,-1.289444264
0.0288,-1.313086836,-1.274907078
0.0289,-1.302555436,-1.258064792
0.029,-1.29204737,-1.239528418
0.0291,-1.280877271,-1.220078038
0.0292,-1.268373406,-1.200548096
0.0293,-1.253981888,-1.18164597
0.0294,-1.237322652,-1.163865048
0.0295,-1.21821537,-1.147460675
0.0296,-1.196683242,-1.132448825
0.0297,-1.173004035,-1.118548111
0.0298,-1.147693997,-1.105207515
0.0299,-1.12144802,-1.091687229
0.03,-1.095033183,-1.077173654
0.0301,-1.06911498,-1.06096282
0.0302,-1.044173922,-1.042552898
0.0303,-1.020480046,-1.021676272
0.0304,-0.998087314,-0.998307888
0.0305,-0.976776876,-0.972706055
0.0306,-0.956074318,-0.94539492
0.0307,-0.935313893,-0.917113925
0.0308,-0.913744529,-0.888710809
0.0309,-0.890704614,-0.860956612
0.031,-0.865708438,-0.834437482
0.0311,-0.838476387,-0.809504795
0.0312,-0.808945936,-0.78626249
0.0313,-0.777273041,-0.764567264
0.0314,-0.743882935,-0.743982225
0.0315,-0.70942535,-0.723828376
0.0316,-0.674673261,-0.703288039
0.0317,-0.640346289,-0.681590898
0.0318,-0.607013132,-0.658128099
0.0319,-0.575047866,-0.632510778
0.032,-0.544612204,-0.6045911
0.0321,-0.515660206,-0.574457391
0.0322,-0.487883051,-0.54248612
0.0323,-0.460736143,-0.509309069
0.0324,-0.433515879,-0.475728628
0.0325,-0.405482908,-0.44258876
0.0326,-0.376029661,-0.410596422
0.0327,-0.344742297,-0.380244463
0.0328,-0.311423538,-0.351783721
0.0329,-0.276093861,-0.325220111
0.033,-0.239051348,-0.300256618
0.0331,-0.200847536,-0.276322201
0.0332,-0.162211689,-0.252654916
0.0333,-0.123942325,-0.228419988
0.0334,-0.086731386,-0.202896125
0.0335,-0.051079319,-0.175570151
0.0336,-0.017268748,-0.146170302
0.0337,0.014641229,-0.114674886
0.0338,0.044811023,-0.081352531
0.0339,0.073666622,-0.046743376
0.034,0.101849786,-0.011608443
0.0341,0.130118042,0.023188402
0.0342,0.159167155,0.056867871
0.0343,0.189529226,0.088834799
0.0344,0.221526593,0.118683906
0.0345,0.255259599,0.146187694
0.0346,0.290602721,0.171299055
0.0347,0.327148901,0.194221735
0.0348,0.364247245,0.215393486
0.0349,0.401089827,0.235369464
0.035,0.43680026,0.254744171
0.0351,0.470531359,0.274069892
0.0352,0.50161999,0.293784644
0.0353,0.529644385,0.314157278
0.0354,0.554422714,0.335257197
0.0355,0.575996102,0.356952161
0.0356,0.594675686,0.37885067
0.0357,0.611010606,0.400410362
0.0358,0.625708887,0.421032579
0.0359,0.639544763,0.440139339
0.036,0.653194583,0.457237116
0.0361,0.667153943,0.47197227
0.0362,0.681710683,0.484168634
0.0363,0.696948109,0.493841271
0.0364,0.71268398,0.501199524
0.0365,0.728489932,0.506699246
0.0366,0.743758466,0.510997802
0.0367,0.75780071,0.514857872
0.0368,0.77001357,0.51901992
0.0369,0.779959615,0.524044511
0.037,0.787393824,0.530257842
0.0371,0.792273854,0.53774504
0.0372,0.794761629,0.546307872
0.0373,0.795275149,0.555480074
0.0374,0.794444299,0.564573763
0.0375,0.793004003,0.572793214
0.0376,0.791619286,0.579418555
0.0377,0.790797758,0.583902236
0.0378,0.790857756,0.585907865
0.0379,0.791914895,0.58532716
0.038,0.79387703,0.582271855
0.0381,0.796388829,0.577124281
0.0382,0.798871227,0.570504584
0.0383,0.800623415,0.563187037
0.0384,0.800995113,0.555973294
0.0385,0.799474531,0.549517833
0.0386,0.795725551,0.544258167
0.0387,0.78960952,0.540395708
0.0388,0.78118471,0.537899504
0.0389,0.770765706,0.536452122
0.039,0.758900223,0.535479801
0.0391,0.746295827,0.534234485
0.0392,0.733693592,0.531920046
0.0393,0.721709839,0.52786936
0.0394,0.710775761,0.521620915
0.0395,0.701114507,0.512946461
0.0396,0.692739193,0.501854682
0.0397,0.685391558,0.488650773
0.0398,0.678564157,0.473909668
0.0399,0.671573904,0.458395334
0.04,0.663668355,0.442945123
0.0401,0.654199573,0.428285677
0.0402,0.642707484,0.414940026
0.0403,0.628945192,0.403195426
0.0404,0.61288424,0.393095162
0.0405,0.594755936,0.384398083
0.0406,0.575037326,0.376596619
0.0407,0.554407218,0.368967449
0.0408,0.533649984,0.360689706
0.0409,0.513481143,0.351031273
0.041,0.494447351,0.339446515
0.0411,0.476881981,0.325615392
0.0412,0.460895729,0.309459514
0.0413,0.446376105,0.291144609
0.0414,0.432937127,0.271128933
0.0415,0.419964422,0.250113254
0.0416,0.406710171,0.228938361
0.0417,0.392469169,0.208400813
0.0418,0.376683181,0.189137004
0.0419,0.358992223,0.171563979
0.042,0.339252127,0.155857334
0.0421,0.317529792,0.141955188
0.0422,0.294158276,0.129505699
0.0423,0.269709379,0.117899744
0.0424,0.244916416,0.106355801
0.0425,0.220533305,0.094105289
0.0426,0.197185218,0.080509021
0.0427,0.175311434,0.06512266
0.0428,0.155143126,0.047727529
0.0429,0.136702024,0.028335671
0.043,0.119761473,0.007250889
0.0431,0.103861351,-0.014956574
0.0432,0.088352147,-0.037528707
0.0433,0.072503996,-0.059632607
0.0434,0.055703687,-0.080461731
0.0435,0.037499583,-0.099313102
0.0436,0.017645534,-0.115686516
0.0437,-0.003885685,-0.12931002
0.0438,-0.026828237,-0.140177904
0.0439,-0.050634907,-0.148644319
0.044,-0.07454236,-0.155380565
0.0441,-0.097741838,-0.161226618
0.0442,-0.119490672,-0.166989258
0.0443,-0.139183611,-0.173337899
0.0444,-0.156398589,-0.180747527
0.0445,-0.170922196,-0.189465271
0.0446,-0.182752535,-0.199504064
0.0447,-0.192093893,-0.210603226
0.0448,-0.199402883,-0.222246701
0.0449,-0.205340021,-0.233711754
0.045,-0.210673347,-0.244183968
0.0451,-0.216170957,-0.252940845
0.0452,-0.222434151,-0.259447233
0.0453,-0.229830323,-0.263394478
0.0454,-0.238488626,-0.264718265
0.0455,-0.248302544,-0.263601884
0.0456,-0.258882681,-0.260524147
0.0457,-0.269604907,-0.256208076
0.0458,-0.279708188,-0.251516686
0.0459,-0.288473274,-0.247291694
0.046,-0.295329247,-0.244205023
0.0461,-0.299907173,-0.242697148
0.0462,-0.302059735,-0.242955068
0.0463,-0.301857296,-0.244916886
0.0464,-0.299642705,-0.248220757
0.0465,-0.296002714,-0.252239674
0.0466,-0.291688988,-0.256168932
0.0467,-0.287497874,-0.25918241
0.0468,-0.284098598,-0.260593639
0.0469,-0.281961454,-0.259922527
0.047,-0.281335051,-0.256928448
0.0471,-0.282244639,-0.251616178
0.0472,-0.284431831,-0.244284488
0.0473,-0.28737862,-0.235503651
0.0474,-0.290383023,-0.22604574
0.0475,-0.292667472,-0.216770263
0.0476,-0.293555116,-0.208437198
0.0477,-0.292556085,-0.201605936
0.0478,-0.289395898,-0.196594623
0.0479,-0.284023542,-0.193469532
0.048,-0.276632466,-0.192048076
0.0481,-0.267677536,-0.191855362
0.0482,-0.257829948,-0.192178995
0.0483,-0.247868025,-0.19218858
0.0484,-0.238499117,-0.191125189
0.0485,-0.230268811,-0.188403113
0.0486,-0.223526164,-0.183653098
0.0487,-0.218408084,-0.176742556
0.0488,-0.214846196,-0.167769388
0.0489,-0.2125131,-0.157113092
0.049,-0.210850273,-0.145401607
0.0491,-0.209144991,-0.133426858
0.0492,-0.20670503,-0.122016547
0.0493,-0.202963315,-0.111856837
0.0494,-0.197533262,-0.103418317
0.0495,-0.190233005,-0.096931966
0.0496,-0.181087167,-0.092388796
0.0497,-0.170387658,-0.089483048
0.0498,-0.158670905,-0.087641138
0.0499,-0.146643929,-0.086103886
0.05,-0.13506677,-0.084043008
0.0501,-0.124583749,-0.080745439
0.0502,-0.115653036,-0.075705537
0.0503,-0.108521304,-0.068655721
0.0504,-0.103218925,-0.059572995
0.0505,-0.09951009,-0.048721316
0.0506,-0.09690884,-0.036631979
0.0507,-0.094736965,-0.024047107
0.0508,-0.092231503,-0.011801226
0.0509,-0.088720261,-0.000634753
0.051,-0.083708241,0.008902745
0.0511,-0.076906851,0.016489443
0.0512,-0.068243461,0.022044525
0.0513,-0.057861707,0.025703603
0.0514,-0.046171859,0.027833486
0.0515,-0.033806847,0.028976661
0.0516,-0.02153091,0.029792341
0.0517,-0.010150634,0.030995584
0.0518,-0.000432759,0.033287863
0.0519,0.00704418,0.037252185
0.052,0.011958603,0.043205758
0.0521,0.014258619,0.051177227
0.0522,0.014218417,0.06084844
0.0523,0.012407918,0.071591814
0.0524,0.009594843,0.082642777
0.0525,0.006555998,0.093225888
0.0526,0.003972355,0.102643231
0.0527,0.002376995,0.110344244
0.0528,0.002118302,0.115974054
0.0529,0.003343828,0.119396371
0.053,0.00600517,0.120691077
0.0531,0.009801302,0.120209724
0.0532,0.014203058,0.118547047
0.0533,0.018526542,0.116461039
0.0534,0.022037104,0.114773525
0.0535,0.024119102,0.114192843
0.0536,0.024354377,0.115214678
0.0537,0.022542802,0.118082684
0.0538,0.018703086,0.122788422
0.0539,0.013132087,0.129015706
0.054,0.006379768,0.136171738
0.0541,-0.000827509,0.143472239
0.0542,-0.007696522,0.150128732
0.0543,-0.013543639,0.155468384
0.0544,-0.017878059,0.159004783
0.0545,-0.020425046,0.160475408
0.0546,-0.021129742,0.159852673
0.0547,-0.020197998,0.157387004
0.0548,-0.018082431,0.153591174
0.0549,-0.015438861,0.149191704
0.055,-0.01303066,0.14501294
0.0551,-0.011554844,0.141792207
0.0552,-0.01154241,0.140082561
0.0553,-0.013313997,0.140213692
0.0554,-0.016970315,0.142276082
0.0555,-0.022391252,0.146118371
0.0556,-0.029184994,0.15129852
0.0557,-0.036732466,0.157133199
0.0558,-0.044281553,0.162799541
0.0559,-0.051122469,0.167519967
0.056,-0.056691495,0.170675739
0.0561,-0.060621763,0.171865765
0.0562,-0.062760475,0.170928407
0.0563,-0.063164038,0.16793743
0.0564,-0.062153251,0.163254613
0.0565,-0.060286155,0.157497382
0.0566,-0.058281198,0.151454382
0.0567,-0.056841972,0.145968219
0.0568,-0.056551475,0.141751851
0.0569,-0.057814953,0.139299999
0.057,-0.060833257,0.138864055
0.0571,-0.065598858,0.140450378
0.0572,-0.071833456,0.14376255
0.0573,-0.079009853,0.148229902
0.0574,-0.086425626,0.153089896
0.0575,-0.093309843,0.157505319
0.0576,-0.098997434,0.160749752
0.0577,-0.10301305,0.162301576
0.0578,-0.105096733,0.161876928
0.0579,-0.105209358,0.159438363
0.058,-0.103573917,0.155235436
0.0581,-0.100661233,0.1497865
0.0582,-0.097145547,0.143827618
0.0583,-0.093794633,0.138193757
0.0584,-0.091292954,0.13363179
0.0585,-0.090153447,0.130702447
0.0586,-0.090686247,0.129741617
0.0587,-0.092987012,0.130845028
0.0588,-0.096934591,0.133866057
0.0589,-0.102138921,0.13836697
0.059,-0.107984416,0.143668155
0.0591,-0.113723319,0.148949628
0.0592,-0.118650361,0.153435576
0.0593,-0.122205974,0.156507684
0.0594,-0.12402672,0.157763807
0.0595,-0.123962335,0.157039757
0.0596,-0.122070844,0.154405369
0.0597,-0.118673852,0.150217324
0.0598,-0.114329612,0.145087101
0.0599,-0.109756457,0.139796907
0.06,-0.105674619,0.135171151
0.0601,-0.102678213,0.131898206
0.0602,-0.101180421,0.130454478
0.0603,-0.101388255,0.131078043
0.0604,-0.103299776,0.133766286
0.0605,-0.106642392,0.138217501
0.0606,-0.110895025,0.143858733
0.0607,-0.115361802,0.149927426
0.0608,-0.119278554,0.155587876
0.0609,-0.121986877,0.160115959
0.061,-0.123017618,0.162992457
0.0611,-0.122116206,0.16393544
0.0612,-0.119247823,0.162908482
0.0613,-0.114638525,0.160160961
0.0614,-0.108760915,0.156209756
0.0615,-0.102289809,0.151788192
0.0616,-0.095992546,0.147727432
0.0617,-0.090552415,0.144769761
0.0618,-0.086480758,0.143470893
0.0619,-0.084086037,0.144161643
0.062,-0.083462463,0.146932962
0.0621,-0.084487931,0.151634037
0.0622,-0.086772102,0.157823739
0.0623,-0.089699893,0.164819978
0.0624,-0.09252484,0.171801208
0.0625,-0.09454368,0.17799089
0.0626,-0.095199427,0.18277066
0.0627,-0.094131608,0.185738774
0.0628,-0.091193095,0.186731663
0.0629,-0.086445001,0.185819742
0.063,-0.080211783,0.183360025
0.0631,-0.073054157,0.179963898
0.0632,-0.065692431,0.176412938
0.0633,-0.058832391,0.17353423
0.0634,-0.053058663,0.172020478
0.0635,-0.048778184,0.172350308
0.0636,-0.046194354,0.174762922
0.0637,-0.045303668,0.179256258
0.0638,-0.045833556,0.185528921
0.0639,-0.047264156,0.193008174
0.064,-0.048901648,0.200931632
0.0641,-0.049993016,0.208463661
0.0642,-0.049896138,0.214880028
0.0643,-0.048153694,0.219660878
0.0644,-0.044519089,0.222522488
0.0645,-0.038962026,0.223425016
0.0646,-0.031710149,0.222612739
0.0647,-0.02323533,0.220595974
0.0648,-0.014210018,0.218100485
0.0649,-0.005398266,0.215949445
0.065,0.002520151,0.214877353
0.0651,0.009037024,0.215432916
0.0652,0.01384615,0.217941196
0.0653,0.016854371,0.222488969
0.0654,0.018183474,0.228922969
0.0655,0.018222112,0.236801304
0.0656,0.017582474,0.245442605
0.0657,0.017007199,0.254027201
0.0658,0.017195146,0.26178117
0.0659,0.018698715,0.268089043
0.066,0.021873989,0.272551817
0.0661,0.026864237,0.275008117
0.0662,0.033605276,0.275529722
0.0663,0.041770515,0.274473994
0.0664,0.050798092,0.272451605
0.0665,0.059967487,0.270242417
0.0666,0.068574374,0.268678723
0.0667,0.076035857,0.268462251
0.0668,0.08194706,0.270076234
0.0669,0.086107233,0.273760957
0.067,0.088523266,0.279512597
0.0671,0.089471727,0.287025891
0.0672,0.08947679,0.295722904
0.0673,0.089236497,0.304835472
0.0674,0.089516147,0.313522294
0.0675,0.090974144,0.321054148
0.0676,0.094078448,0.32690754
0.0677,0.099081276,0.330797249
0.0678,0.106014036,0.332684554
0.0679,0.114633557,0.332817425
0.068,0.124439512,0.331712004
0.0681,0.134737524,0.330100922
0.0682,0.144746609,0.328813504
0.0683,0.153775194,0.328588101
0.0684,0.161308288,0.329974095
0.0685,0.167037562,0.333293745
0.0686,0.170871736,0.338627774
0.0687,0.172937604,0.345814252
0.0688,0.173630917,0.354400941
0.0689,0.173571949,0.363695514
0.069,0.173511353,0.372867821
0.0691,0.174154997,0.381134904
0.0692,0.176060566,0.387874459
0.0693,0.179587246,0.392683332
0.0694,0.184879044,0.39539885
0.0695,0.191870243,0.396094219
0.0696,0.200230783,0.395130559
0.0697,0.209393912,0.393124027
0.0698,0.218633412,0.390860983
0.0699,0.227239127,0.389180465
0.07,0.234622814,0.388790474
0.0701,0.240375265,0.390179445
0.0702,0.244292787,0.393591351
0.0703,0.24638093,0.399024303
0.0704,0.24691655,0.406173188
0.0705,0.246425594,0.414458593
0.0706,0.245609089,0.423109568
0.0707,0.245236148,0.431281144
0.0708,0.245969392,0.438240043
0.0709,0.24828097,0.443458817
0.071,0.252426872,0.446648832
0.0711,0.258441556,0.447768852
0.0712,0.266080346,0.447065457
0.0713,0.274838335,0.445054623
0.0714,0.284017495,0.442469905
0.0715,0.292833922,0.440150938
0.0716,0.300593848,0.438856555
0.0717,0.306781072,0.439158157
0.0718,0.311087742,0.441392053
0.0719,0.31342555,0.445645894
0.072,0.313927115,0.451758401
0.0721,0.312996633,0.459272867
0.0722,0.311264776,0.467488776
0.0723,0.309493607,0.475565587
0.0724,0.308400365,0.482709276
0.0725,0.308553042,0.488287197
0.0726,0.310319194,0.491887722
0.0727,0.313848648,0.493342414
0.0728,0.319078618,0.492721866
0.0729,0.325679086,0.490387812
0.073,0.333080726,0.48695997
0.0731,0.340552663,0.483230632
0.0732,0.34737802,0.480046371
0.0733,0.352961451,0.478123446
0.0734,0.356886965,0.477958372
0.0735,0.358945091,0.479802217
0.0736,0.359137122,0.483658567
0.0737,0.357725872,0.489225762
0.0738,0.355218603,0.495925671
0.0739,0.352305665,0.502986211
0.074,0.349752193,0.509558435
0.0741,0.348222375,0.514902164
0.0742,0.348194183,0.51848063
0.0743,0.349932288,0.519994359
0.0744,0.353481293,0.519390851
0.0745,0.35862328,0.516860955
0.0746,0.364891168,0.512882244
0.0747,0.371611207,0.508164048
0.0748,0.378005034,0.503541144
0.0749,0.383365184,0.499787099
0.075,0.387149725,0.497501424
0.0751,0.389022005,0.497053799
0.0752,0.388864645,0.498566806
0.0753,0.386770792,0.501911895
0.0754,0.383095506,0.506659741
0.0755,0.378424923,0.512129212
0.0756,0.3734959,0.517488834
0.0757,0.36901807,0.5219419
0.0758,0.365567166,0.52484148
