T/s,theta 1 torque/Nm,theta 2 torque/Nm
2.8015,20.29221218,21.57677942
2.8016,20.35611352,21.61168437
2.8017,20.42253155,21.6511649
2.8018,20.49056241,21.69595648
2.8019,20.55955361,21.7465009
2.802,20.62913327,21.80291576
2.8021,20.69922262,21.86499837
2.8022,20.77009543,21.93219803
2.8023,20.84232839,22.00365351
2.8024,20.9166935,22.07826711
2.8025,20.99404704,22.15484868
2.8026,21.07520879,22.23231719
2.8027,21.160791,22.30981522
2.8028,21.25112305,22.38676396
2.8029,21.3462409,22.46288997
2.803,21.44590174,22.53825608
2.8031,21.54954241,22.61330497
2.8032,21.65632006,22.68876853
2.8033,21.76522141,22.76555267
2.8034,21.87525294,22.84461592
2.8035,21.98554794,22.92677986
2.8036,22.09542923,23.01261787
2.8037,22.2044525,23.10240607
2.8038,22.31242179,23.19611578
2.8039,22.41946448,23.29343463
2.804,22.52601117,23.39372574
2.8041,22.63271829,23.49607936
2.8042,22.74036814,23.5994425
2.8043,22.84976655,23.70281268
2.8044,22.96162459,23.80534305
2.8045,23.07641111,23.90640609
2.8046,23.19431183,24.00563506
2.8047,23.31523675,24.10294969
2.8048,23.43878598,24.19862583
2.8049,23.5642747,24.29325257
2.805,23.69080037,24.3876276
2.8051,23.8174308,24.48264494
2.8052,23.94331732,24.57918233
2.8053,24.06776198,24.67792833
2.8054,24.19026846,24.77929318
2.8055,24.31056993,24.88338228
2.8056,24.42864407,24.99000904
2.8057,24.54477748,25.09864564
2.8058,24.65952339,25.20846566
2.8059,24.77360259,25.31846566
2.806,24.88780109,25.42765533
2.8061,25.00285953,25.53516368
2.8062,25.11931504,25.64030787
2.8063,25.23743955,25.74264316
2.8064,25.35723872,25.84198519
2.8065,25.47840843,25.93841595
2.8066,25.60035081,26.03233775
2.8067,25.72222166,26.12441864
2.8068,25.84310769,26.21547995
2.8069,25.96214386,26.30638216
2.807,26.07859116,26.39790708
2.8071,26.19189081,26.49059776
2.8072,26.30170059,26.58469774
2.8073,26.40790715,26.6801548
2.8074,26.51069913,26.77658547
2.8075,26.61054669,26.87330149
2.8076,26.70812381,26.96938262
2.8077,26.80420818,27.06387089
2.8078,26.89958164,27.15588949
2.8079,26.99487296,27.2447163
2.808,27.09047114,27.32984234
2.8081,27.18650308,27.41100513
2.8082,27.28284483,27.48819271
2.8083,27.37906594,27.56170687
2.8084,27.47446184,27.6321326
2.8085,27.56821214,27.70024973
2.8086,27.65949852,27.76692187
2.8087,27.74758575,27.8329892
2.8088,27.83188275,27.89910408
2.8089,27.9119886,27.96564962
2.809,27.98771669,28.03271918
2.8091,28.05910738,28.10011875
2.8092,28.12649199,28.1673172
2.8093,28.19045129,28.23350156
2.8094,28.25171806,28.29776154
2.8095,28.31107737,28.35921715
2.8096,28.36927008,28.41710768
2.8097,28.42684323,28.47085621
2.8098,28.48408613,28.52011446
2.8099,28.54102495,28.56478145
2.81,28.59738362,28.60508063
2.8101,28.65260219,28.64154019
2.8102,28.70589889,28.67491259
2.8103,28.75645166,28.70606834
2.8104,28.80350414,28.73588776
2.8105,28.84642829,28.76509007
2.8106,28.8847758,28.7941435
2.8107,28.9183087,28.82323555
2.8108,28.94700469,28.85228067
2.8109,28.97112546,28.88086434
2.811,28.99119392,28.90827818
2.8111,29.0079161,28.93363763
2.8112,29.022082,28.956064
2.8113,29.03446945,28.97477874
2.8114,29.0456887,28.98917054
2.8115,29.05610871,28.99884557
2.8116,29.065841,29.00365302
2.8117,29.07474264,29.00369636
2.8118,29.08236285,28.99939335
2.8119,29.08799169,28.99142851
2.812,29.09083495,28.98064769
2.8121,29.09013003,28.96794859
2.8122,29.08522342,28.9541655
2.8123,29.07562579,28.93990962
2.8124,29.0610506,28.92550704
2.8125,29.04142943,28.91099946
2.8126,29.01698911,28.89615374
2.8127,28.9882353,28.88041819
2.8128,28.95588015,28.86298416
2.8129,28.92074754,28.84297561
2.813,28.88367636,28.81957789
2.8131,28.84535965,28.79212378
2.8132,28.80626238,28.76015191
2.8133,28.76659635,28.72344147
2.8134,28.72632879,28.68203239
2.8135,28.68514629,28.63629304
2.8136,28.64247747,28.58687875
2.8137,28.59756008,28.53463135
2.8138,28.54962263,28.48047323
2.8139,28.49798812,28.42529038
2.814,28.4421314,28.36976611
2.8141,28.38172319,28.31431086
2.8142,28.31665147,28.2590546
2.8143,28.2471046,28.20386276
2.8144,28.17356007,28.14828788
2.8145,28.09671631,28.09161275
2.8146,28.01740122,28.032961
2.8147,27.9364772,27.97148802
2.8148,27.85467795,27.90649195
2.8149,27.77252056,27.83747326
2.815,27.6902744,27.7641734
2.8151,27.60796419,27.68659918
2.8152,27.52539395,27.60509412
2.8153,27.44210217,27.52029997
2.8154,27.35741335,27.43305976
2.8155,27.2706055,27.34431512
2.8156,27.18102054,27.25499047
2.8157,27.08812963,27.16582481
2.8158,26.99158287,27.07729725
2.8159,26.89123721,26.98961375
2.816,26.78819393,26.90271668
2.8161,26.68487558,26.81625455
2.8162,26.58161362,26.7296384
2.8163,26.47874179,26.64217695
2.8164,26.37655749,26.5532826
2.8165,26.27523554,26.46254073
2.8166,26.17480532,26.36973177
2.8167,26.07516631,26.27491244
2.8168,25.97611578,26.17840944
2.8169,25.87737667,26.08076008
2.817,25.77863827,25.98273516
2.8171,25.67965902,25.88548358
2.8172,25.58029604,25.78919282
2.8173,25.48050236,25.69392775
2.8174,25.38031806,25.59964526
2.8175,25.27985091,25.5067264
2.8176,25.1792578,25.41533461
2.8177,25.07873347,25.32537075
2.8178,24.97850305,25.23666169
2.8179,24.87881041,25.1489376
2.818,24.77985607,25.06192619
2.8181,24.68174199,24.9753689
2.8182,24.58447949,24.88904834
2.8183,24.48800793,24.80284721
2.8184,24.39221003,24.71677523
2.8185,24.29692586,24.63098995
2.8186,24.20196659,24.54575063
2.8187,24.10712863,24.46137529
2.8188,24.01228033,24.37820001
2.8189,23.91738774,24.29653096
2.819,23.82250622,24.21654238
2.8191,23.72776298,24.13825863
2.8192,23.63334118,24.06153328
2.8193,23.53944747,23.98608343
2.8194,23.44622291,23.91156916
2.8195,23.3537293,23.83763268
2.8196,23.26196422,23.76394355
2.8197,23.17087097,23.69021944
2.8198,23.0803468,23.61626304
2.8199,22.99025057,23.54200079
2.82,22.90041063,23.46753525
2.8201,22.8106336,23.39309329
2.8202,22.72072675,23.31898037
2.8203,22.63058417,23.24547797
2.8204,22.54237771,23.17277389
2.8205,22.45833813,23.10095206
2.8206,22.37872333,23.03006392
2.8207,22.30371546,22.96024603
2.8208,22.23338326,22.89176013
2.8209,22.1676521,22.82501079
2.821,22.1063008,22.76052421
2.8211,22.04895207,22.69884677
2.8212,21.99516049,22.64049028
2.8213,21.94448032,22.58589443
2.8214,21.89651519,22.53539163
2.8215,21.85095416,22.48918173
2.8216,21.80756391,22.44731924
2.8217,21.76623458,22.40971442
2.8218,21.72699165,22.3762195
2.8219,21.68996848,22.34661729
2.822,21.65537519,22.32062537
2.8221,21.62346629,22.29787944
2.8222,21.59450856,22.27795665
2.8223,21.56874997,22.26042475
2.8224,21.54639135,22.2448843
2.8225,21.52756324,22.23100194
2.8226,21.51232258,22.21854687
2.8227,21.50072099,22.20744168
2.8228,21.49281033,22.19782971
2.8229,21.48862415,22.19002268
2.823,21.4881271,22.18445352
2.8231,21.49124211,22.18155715
2.8232,21.49784061,22.18171206
2.8233,21.50773723,22.18521848
2.8234,21.52072211,22.19229015
2.8235,21.53663424,22.20304858
2.8236,21.55541722,22.21752096
2.8237,21.57709575,22.23564429
2.8238,21.60172541,22.25727794
2.8239,21.62937648,22.28222337
2.824,21.66012475,22.31027091
2.8241,21.69403954,22.34125233
2.8242,21.73117206,22.37505279
2.8243,21.77155909,22.41160929
2.8244,21.81529422,22.45090671
2.8245,21.86253108,22.4929713
2.8246,21.91345603,22.53786432
2.8247,21.96826932,22.58572673
2.8248,22.02717157,22.63675951
2.8249,22.09034417,22.69120362
2.825,22.15787293,22.74925193
2.8251,22.22974806,22.81102683
2.8252,22.30587254,22.87659019
2.8253,22.38608372,22.94595378
2.8254,22.47025999,23.01908543
2.8255,22.55839508,23.09592421
2.8256,22.6505663,23.17645928
2.8257,22.74690898,23.26074166
2.8258,22.84759411,23.34886603
2.8259,22.95281199,23.44095937
2.826,23.06268797,23.53717256
2.8261,23.17726165,23.63763622
2.8262,23.29650207,23.74247871
2.8263,23.42033198,23.85172614
2.8264,23.54871576,23.9652866
2.8265,23.6816948,24.08296814
2.8266,23.81937372,24.20451532
2.8267,23.96189225,24.32971353
2.8268,24.10939723,24.45842623
2.8269,24.26201794,24.59059551
2.827,24.41972918,24.72623756
2.8271,24.58233533,24.86548374
2.8272,24.74946317,25.00854917
2.8273,24.92066016,25.15564828
2.8274,25.09547856,25.30691123
2.8275,25.2735161,25.46236093
2.8276,25.45443535,25.62190887
2.8277,25.63797239,25.78530911
2.8278,25.82397336,25.95221278
2.8279,26.01246436,26.12218936
2.828,26.20359202,26.29475338
2.8281,26.39749213,26.46939984
2.8282,26.5942352,26.64564285
2.8283,26.79381323,26.8230496
2.8284,26.99612993,27.00126391
2.8285,27.2009493,27.18001814
2.8286,27.40789624,27.35913366
2.8287,27.61651976,27.5385486
2.8288,27.82632924,27.71837866
2.8289,28.03681691,27.89886174
2.829,28.24748632,28.08022203
2.8291,28.45788303,28.26259994
2.8292,28.66762079,28.4460248
2.8293,28.87639749,28.63040845
2.8294,29.08399953,28.81546147
2.8295,29.29029568,29.00070806
2.8296,29.49525824,29.18560322
2.8297,29.69901749,29.36959005
2.8298,29.90180247,29.55212847
2.8299,30.10387875,29.73272757
2.83,30.30542415,29.9109768
2.8301,30.50646204,30.08657133
2.8302,30.70676586,30.25932589
2.8303,30.90587172,30.42917331
2.8304,31.10321291,30.59623315
2.8305,31.29819418,30.7607936
2.8306,31.49023438,30.92324634
2.8307,31.67880088,31.08401208
2.8308,31.86344339,31.24340429
2.8309,32.04382181,31.4015664
2.831,32.21972219,31.55840419
2.8311,32.39105717,31.71356456
2.8312,32.55785018,31.86647078
2.8313,32.7202917,32.01647038
2.8314,32.87871374,32.16290829
2.8315,33.03352278,32.30516928
2.8316,33.18509291,32.44272179
2.8317,33.33365421,32.57515596
2.8318,33.47925173,32.70220983
2.8319,33.62166309,32.82377838
2.832,33.76041426,32.93990373
2.8321,33.89491984,33.05083373
2.8322,34.02456435,33.15699354
2.8323,34.14875207,33.25891046
2.8324,34.2669479,33.35713101
2.8325,34.37871621,33.4521389
2.8326,34.48375182,33.544227
2.8327,34.58189866,33.63344645
2.8328,34.67315195,33.71953531
2.8329,34.75770505,33.80194772
2.833,34.83593914,33.88001023
2.8331,34.908383,33.95302233
2.8332,34.97562388,34.02032546
2.8333,35.03822992,34.08135845
2.8334,35.09661594,34.13570476
2.8335,35.15098797,34.18312514
2.8336,35.20125322,34.22357063
2.8337,35.24702778,34.25717322
2.8338,35.28770843,34.28430153
2.8339,35.32262628,34.30552625
2.834,35.35113029,34.32153447
2.8341,35.37263602,34.33303331
2.8342,35.3866733,34.34059477
2.8343,35.39292428,34.34457915
2.8344,35.39124511,34.34511413
2.8345,35.38166718,34.34206768
2.8346,35.36444196,34.33499622
2.8347,35.34002966,34.32323906
2.8348,35.3090579,34.30608156
2.8349,35.27222744,34.28284344
2.835,35.23022764,34.25293957
2.8351,35.1835948,34.21593402
2.8352,35.13264949,34.17157904
2.8353,35.07747646,34.11983286
2.8354,35.01785638,34.0608627
2.8355,34.95329594,33.99510479
2.8356,34.88318321,33.92322361
2.8357,34.80688883,33.84601527
2.8358,34.72383531,33.76430723
2.8359,34.63355182,33.67885515
2.836,34.53571936,33.59019904
2.8361,34.43020047,33.49861602
2.8362,34.3226033,33.40412963
2.8363,34.21467973,33.30645109
2.8364,34.10666888,33.2051616
2.8365,33.99874059,33.10171333
2.8366,33.89098434,32.99832524
2.8367,33.78343625,32.89507348
2.8368,33.67612985,32.79209367
2.8369,33.56911913,32.68953604
2.837,33.46247468,32.58754516
2.8371,33.3562813,32.48617899
2.8372,33.25063599,32.38540237
2.8373,33.14561366,32.28511516
2.8374,33.04120375,32.18517404
2.8375,32.93731502,32.0854102
2.8376,32.8337983,31.9857149
2.8377,32.73048942,31.88606117
2.8378,32.62728457,31.7864899
2.8379,32.52414643,31.68708742
2.838,32.42108614,31.58796803
2.8381,32.31815133,31.48925864
2.8382,32.21541736,31.39101691
2.8383,32.11298092,31.2932148
2.8384,32.01095409,31.19575664
2.8385,31.9094471,31.09850181
2.8386,31.80848734,31.00129512
2.8387,31.70800982,30.90405622
2.8388,31.60788121,30.80679253
2.8389,31.50792564,30.70957475
2.839,31.40801538,30.61251645
2.8391,31.30809319,30.51575625
2.8392,31.20816001,30.41942176
2.8393,31.10826204,30.32355173
2.8394,31.00848062,30.22809622
2.8395,30.90892298,30.13294264
2.8396,30.80971286,30.03793683
2.8397,30.71096963,29.94291256
2.8398,30.61272567,29.84778055
2.8399,30.51491722,29.75254225
2.84,30.41741053,29.6572668
2.8401,30.32002309,29.56207152
2.8402,30.222615,29.46710402
2.8403,30.12511784,29.37585446
2.8404,30.0275291,29.28879682
2.8405,29.9299366,29.20593251
2.8406,29.83253683,29.12697063
2.8407,29.73561065,29.05130987
2.8408,29.63942207,28.97818208
2.8409,29.5441752,28.9067673
2.841,29.45000378,28.83626234
2.8411,29.35697102,28.76593814
2.8412,29.2650692,28.69518072
2.8413,29.17422122,28.62351574
2.8414,29.08428464,28.55061768
2.8415,28.99505862,28.47630542
2.8416,28.90629346,28.40058972
2.8417,28.81770206,28.32367276
2.8418,28.72897335,28.24592618
2.8419,28.63983476,28.16782143
2.842,28.55011197,28.08986701
2.8421,28.4597276,28.0125544
2.8422,28.36868766,27.93626946
2.8423,28.27707105,27.86122678
2.8424,28.18501926,27.78747108
2.8425,28.0927245,27.71490314
2.8426,28.00041609,27.64322718
2.8427,27.90834576,27.57199001
2.8428,27.8167565,27.50072127
2.8429,27.7257937,27.42900359
2.843,27.63549288,27.35649975
2.8431,27.54579942,27.28297036
2.8432,27.45658486,27.20829226
2.8433,27.36766226,27.13254034
2.8434,27.27880117,27.05597426
2.8435,27.18974613,26.97897783
2.8436,27.10030654,26.90199687
2.8437,27.01038392,26.82541251
2.8438,26.91996523,26.74948856
2.8439,26.82910973,26.6743659
2.844,26.73793619,26.60007316
2.8441,26.64660969,26.52654538
2.8442,26.55532826,26.45364821
2.8443,26.4643098,26.38117168
2.8444,26.37370711,26.30887678
2.8445,26.28358341,26.23652641
2.8446,26.19392119,26.16390967
2.8447,26.1046393,26.09087117
2.8448,26.01560688,26.01740622
2.8449,25.92665548,25.94366179
2.845,25.83759114,25.86989039
2.8451,25.74828007,25.79640644
2.8452,25.65867495,25.7234723
2.8453,25.56880821,25.65125048
2.8454,25.47877623,25.57979969
2.8455,25.38872513,25.50909027
2.8456,25.29883705,25.439025
2.8457,25.20930136,25.36947253
2.8458,25.12022988,25.30028185
2.8459,25.03164807,25.23127763
2.846,24.9435163,25.16228634
2.8461,24.85574491,25.09317771
2.8462,24.76820604,25.02395661
2.8463,24.68074356,24.95475428
2.8464,24.59318305,24.88578778
2.8465,24.50541529,24.81731031
2.8466,24.41742025,24.74950174
2.8467,24.32925805,24.68243794
2.8468,24.24105085,24.61610472
2.8469,24.15296655,24.55041609
2.847,24.06517657,24.4852318
2.8471,23.97777703,24.42039024
2.8472,23.89078747,24.35570429
2.8473,23.80416904,24.29098728
2.8474,23.71783752,24.22608286
2.8475,23.63167348,24.16091403
2.8476,23.5455308,24.0955544
2.8477,23.45924467,24.03018286
2.8478,23.37271336,23.96503316
2.8479,23.2859213,23.90028277
2.848,23.19892989,23.83601998
2.8481,23.11185972,23.77225484
2.8482,23.02487492,23.70893439
2.8483,22.93815222,23.64597381
2.8484,22.85179566,23.58330291
2.8485,22.7658288,23.52090534
2.8486,22.68021575,23.45881322
2.8487,22.5948774,23.39714761
2.8488,22.50970537,23.33608896
2.8489,22.42457455,23.27585054
2.849,22.3393545,23.21665286
2.8491,22.25394532,23.15870074
2.8492,22.1683452,23.10210399
2.8493,22.08265383,23.04676867
2.8494,21.99704604,22.99236974
2.8495,21.91169852,22.93842541
2.8496,21.82672381,22.8844428
2.8497,21.74216702,22.82998409
2.8498,21.65801271,22.77468924
2.8499,21.57419083,22.71828962
2.85,21.49058342,22.66062535
2.8501,21.4070322,22.60172899
2.8502,21.32334728,22.5418155
2.8503,21.23932998,22.48122319
2.8504,21.15485972,22.42028754
2.8505,21.06990919,22.35928097
2.8506,20.98452553,22.29839523
2.8507,20.8988159,22.23774174
2.8508,20.81293418,22.17735981
2.8509,20.72706858,22.11723087
2.851,20.64141809,22.05730692
2.8511,20.55610741,21.9976039
2.8512,20.47117533,21.9382232
2.8513,20.38659835,21.87933404
2.8514,20.30230966,21.82115256
2.8515,20.21821582,21.76391852
2.8516,20.13421098,21.70787206
2.8517,20.05018865,21.65323278
2.8518,19.96605098,21.60018237
2.8519,19.8817839,21.54875688
2.852,19.80097047,21.4987649
2.8521,19.73064502,21.44978304
2.8522,19.67106237,21.40140245
2.8523,19.62211126,21.35356622
2.8524,19.58322216,21.30678908
2.8525,19.55339992,21.26205161
2.8526,19.53139474,21.2205838
2.8527,19.51585083,21.18369753
2.8528,19.50544268,21.152643
2.8529,19.49899601,21.12847949
2.853,19.49558129,21.11197464
2.8531,19.4945737,21.10354052
2.8532,19.49567647,21.10320992
2.8533,19.49894714,21.11065247
2.8534,19.50483605,21.12516224
2.8535,19.51409042,21.14571309
2.8536,19.52763568,21.17105107
2.8537,19.54645286,21.1998427
2.8538,19.57146142,21.23081354
2.8539,19.60340608,21.26287914
2.854,19.64270591,21.29530908
2.8541,19.68940657,21.32778301
2.8542,19.74320169,21.36045889
2.8543,19.80339598,21.39393522
2.8544,19.86896694,21.42914367
2.8545,19.93870088,21.46719847
2.8546,20.01140483,21.50917665
2.8547,20.08603433,21.55597777
2.8548,20.16176864,21.60824116
2.8549,20.23805932,21.66629267
2.855,20.31464738,21.73012676
2.8551,20.39158829,21.79942282
2.8552,20.46929376,21.87350794
2.8553,20.54844285,21.95140954
2.8554,20.6298724,22.03196396
2.8555,20.71446402,22.11396075
2.8556,20.80302515,22.19634164
2.8557,20.89612362,22.27830872
2.8558,20.99402043,22.35937031
2.8559,21.09666869,22.43935659
2.856,21.20373848,22.51848796
2.8561,21.31457825,22.59734199
2.8562,21.42826775,22.67675815
2.8563,21.5437538,22.75771649
2.8564,21.66003882,22.84120139
2.8565,21.77627463,22.92801148
2.8566,21.89182393,23.01866431
2.8567,22.00629808,23.11336675
2.8568,22.1195654,23.21201439
2.8569,22.23181883,23.31415703
2.857,22.34354916,23.41902851
2.8571,22.45546039,23.52561264
2.8572,22.56836312,23.63281684
2.8573,22.68306844,23.73964056
2.8574,22.80022012,23.84526395
2.8575,22.92020802,23.94910801
2.8576,23.04314217,24.05086806
2.8577,23.16886341,24.15052983
2.8578,23.29688924,24.24843098
2.8579,23.42644998,24.34521164
2.858,23.55660108,24.44170461
2.8581,23.68640448,24.53881931
2.8582,23.81502708,24.63741642
2.8583,23.94180277,24.73813622
2.8584,24.06627887,24.84132524
2.8585,24.18823821,24.94702786
2.8586,24.30770791,25.05500336
2.8587,24.42501868,25.16468066
2.8588,24.54075867,25.27520391
2.8589,24.655672,25.38556017
2.859,24.77055568,25.49476856
2.8591,24.88614988,25.60197825
2.8592,25.00298238,25.70653582
2.8593,25.12130975,25.80803223
2.8594,25.24111939,25.90632161
2.8595,25.36208884,26.00152397
2.8596,25.48360443,26.09407648
2.8597,25.60481538,26.18467643
2.8598,25.72481287,26.2741673
2.8599,25.84274354,26.36342393
2.86,25.95788237,26.45323533
2.8601,26.0696869,26.54414612
2.8602,26.17783303,26.63639751
2.8603,26.28222632,26.72993247
2.8604,26.38307446,26.82433746
2.8605,26.48086592,26.91887759
2.8606,26.57629068,27.01260195
2.8607,26.67013803,27.10453497
2.8608,26.76319547,27.19379458
2.8609,26.8560872,27.27966434
2.861,26.94919403,27.36164989
2.8611,27.04263187,27.43950985
2.8612,27.13626444,27.51325709
2.8613,27.22964918,27.58321956
2.8614,27.32207096,27.65000753
2.8615,27.41270162,27.71442332
2.8616,27.50071862,27.77734888
2.8617,27.58538677,27.83962607
2.8618,27.66611933,27.90189073
2.8619,27.74252354,27.96450293
2.862,27.81442315,28.02753965
2.8621,27.88186931,28.09079655
2.8622,27.94520319,28.1537378
2.8623,28.00501366,28.21555091
2.8624,28.06203961,28.27533031
2.8625,28.11707024,28.33220399
2.8626,28.17085219,28.38542157
2.8627,28.22394115,28.43441779
2.8628,28.27663591,28.4788565
2.8629,28.32897027,28.51864879
2.863,28.38065284,28.55400577
2.8631,28.4310924,28.58542628
2.8632,28.47948805,28.61364709
2.8633,28.52500573,28.63953182
2.8634,28.56688187,28.66396032
2.8635,28.60448449,28.68765628
2.8636,28.63736374,28.71109587
2.8637,28.6652821,28.73447681
2.8638,28.68821948,28.75772477
2.8639,28.70644181,28.78043632
2.864,28.72047834,28.80191321
2.8641,28.73104359,28.8212698
2.8642,28.73893812,28.83761758
2.8643,28.74494446,28.85017187
2.8644,28.74967011,28.85831793
2.8645,28.75347987,28.86166104
2.8646,28.75648684,28.8600514
2.8647,28.75855363,28.85359479
2.8648,28.7592377,28.8427123
2.8649,28.75783891,28.82809273
2.865,28.75357336,28.81058718
2.8651,28.74568853,28.79109971
2.8652,28.73354027,28.77047225
2.8653,28.71664779,28.74932535
2.8654,28.69473208,28.727996
2.8655,28.66773154,28.70653802
2.8656,28.63587949,28.68468202
2.8657,28.5996883,28.6618568
2.8658,28.55987602,28.63724536
2.8659,28.51727023,28.60997282
2.866,28.47271097,28.57923318
2.8661,28.42689061,28.54437353
2.8662,28.38027249,28.50495041
2.8663,28.33306677,28.46076271
2.8664,28.28523996,28.41187016
2.8665,28.23645691,28.35865992
2.8666,28.18611123,28.30180413
2.8667,28.13342146,28.24215819
2.8668,28.0776092,28.18065311
2.8669,28.01800109,28.11812489
2.867,27.95408436,28.055199
2.8671,27.88554727,27.99224413
2.8672,27.8122958,27.92936273
2.8673,27.7345334,27.86640655
2.8674,27.65274786,27.80292721
2.8675,27.56764247,27.73821779
2.8676,27.48004496,27.67143509
2.8677,27.39081378,27.60178256
2.8678,27.30067732,27.5286019
2.8679,27.21014888,27.45143148
2.868,27.11949786,27.37004337
2.8681,27.02875432,27.28446677
2.8682,26.93771925,27.19505953
2.8683,26.84591735,27.1024703
2.8684,26.75265188,27.00754237
2.8685,26.6571841,26.91121174
2.8686,26.55896075,26.81438585
2.8687,26.45999817,26.71777903
2.8688,26.36026827,26.62184873
2.8689,26.2598296,26.52685492
2.869,26.15879805,26.432925
2.8691,26.05733842,26.3400672
2.8692,25.95565329,26.24819385
2.8693,25.85397108,26.15709996
2.8694,25.75253395,26.06649047
2.8695,25.65158579,25.97598767
2.8696,25.5513487,25.88522967
2.8697,25.45193796,25.79394902
2.8698,25.353351,25.70203158
2.8699,25.25549276,25.60958827
2.87,25.15819772,25.51690267
2.8701,25.06125176,25.42437909
2.8702,24.96441472,25.33248854
2.8703,24.86751348,25.24170337
2.8704,24.77047266,25.15237786
2.8705,24.67330982,25.06471262
2.8706,24.57612015,24.97876541
2.8707,24.47906097,24.89447058
2.8708,24.38233573,24.8116173
2.8709,24.28616632,24.72987164
2.871,24.19070304,24.64886303
2.8711,24.096007,24.56824071
2.8712,24.00206689,24.48769955
2.8713,23.90881098,24.4069967
2.8714,23.81611759,24.32599647
2.8715,23.72382485,24.24475032
2.8716,23.63174068,24.16345963
2.8717,23.53965598,24.08242699
2.8718,23.44743029,24.00200893
2.8719,23.35501602,23.92249977
2.872,23.26244939,23.84408295
2.8721,23.16983454,23.76682722
2.8722,23.07732883,23.69070301
2.8723,22.98512848,23.61560475
2.8724,22.89341604,23.54136113
2.8725,22.80229319,23.46782371
2.8726,22.7131732,23.39484815
2.8727,22.62904419,23.32229123
2.8728,22.5499958,23.25010761
2.8729,22.47593466,23.17853262
2.873,22.40655711,23.10808694
2.8731,22.34133438,23.03948365
2.8732,22.2796366,22.97346622
2.8733,22.22082625,22.91071456
2.8734,22.16432509,22.85179054
2.8735,22.10966723,22.7970931
2.8736,22.05653329,22.74683028
2.8737,22.00477906,22.70101066
2.8738,21.95452046,22.65945384
2.8739,21.90611538,22.62176948
2.874,21.86009194,22.58737994
2.8741,21.81707491,22.55555646
2.8742,21.77768553,22.52557723
2.8743,21.7424018,22.49683345
2.8744,21.71151333,22.46888713
2.8745,21.68511096,22.44151145
2.8746,21.66309244,22.41478305
2.8747,21.64518513,22.38906581
2.8748,21.63089785,22.36493539
2.8749,21.61955831,22.34309774
2.875,21.61046941,22.32429154
2.8751,21.6030148,22.30912933
2.8752,21.59671844,22.29802149
2.8753,21.59127562,22.29115484
2.8754,21.58660144,22.28849014
2.8755,21.58290213,22.28978053
2.8756,21.58061853,22.29453398
2.8757,21.58035103,22.30204627
2.8758,21.58276831,22.31149591
2.8759,21.5884531,22.32212011
2.876,21.59782608,22.33330339
2.8761,21.61111912,22.34461996
2.8762,21.62836436,22.35585449
2.8763,21.64940219,22.36708621
2.8764,21.67385738,22.37868049
2.8765,21.70115856,22.39122348
2.8766,21.73058692,22.4054336
2.8767,21.76143194,22.42205814
2.8768,21.79308087,22.44171109
2.8769,21.82506487,22.46479659
2.877,21.85708987,22.49148874
2.8771,21.88908404,22.52173106
2.8772,21.92126772,22.55525702
2.8773,21.95409541,22.59154199
2.8774,21.98817927,22.62984355
2.8775,22.02420819,22.66936587
2.8776,22.06279354,22.70937777
2.8777,22.10438242,22.74928691
2.8778,22.14922093,22.78868536
2.8779,22.1973468,22.82737192
2.878,22.24859996,22.86540403
2.8781,22.30258653,22.90313456
2.8782,22.35869717,22.94114321
2.8783,22.41622644,22.98014691
2.8784,22.47448469,23.02089409
2.8785,22.53286874,23.06400152
2.8786,22.59091141,23.1098782
2.8787,22.64831415,23.15870533
2.8788,22.70497196,23.21043532
2.8789,22.76105261,23.2648114
2.879,22.8169715,23.32131794
2.8791,22.87331282,23.3792181
2.8792,22.93074818,23.43771613
2.8793,22.98988154,23.49607462
2.8794,23.0511611,23.55368891
2.8795,23.11484081,23.61013376
2.8796,23.180971,23.66518727
2.8797,23.24940679,23.71886916
2.8798,23.31976998,23.77150072
2.8799,23.39146507,23.82363656
2.88,23.4637966,23.87597616
2.8801,23.53607981,23.92927058
2.8802,23.60771094,23.98416077
2.8803,23.67821744,24.04108942
2.8804,23.74729235,24.10026703
2.8805,23.81482177,24.16167054
2.8806,23.88096617,24.22506224
2.8807,23.9461367,24.28993957
2.8808,24.01091721,24.35557278
2.8809,24.07598311,24.4211675
2.881,24.14200148,24.48598285
2.8811,24.20948361,24.54940695
2.8812,24.27872958,24.61100649
2.8813,24.34982153,24.67055459
2.8814,24.4226333,24.72804751
2.8815,24.4967696,24.78377322
2.8816,24.57159082,24.8382745
2.8817,24.6463094,24.89225543
2.8818,24.72015566,24.9464834
2.8819,24.79246198,25.00162092
2.882,24.86271079,25.05813087
2.8821,24.93056812,25.11623769
2.8822,24.99589572,25.17592344
2.8823,25.05882855,25.23688275
2.8824,25.11976215,25.29853692
2.8825,25.17928465,25.36008753
2.8826,25.2380875,25.42069553
2.8827,25.29687573,25.47959261
2.8828,25.35621505,25.53615
2.8829,25.41645656,25.58992886
2.883,25.47771669,25.64070909
2.8831,25.53988832,25.68850639
2.8832,25.60258205,25.73363996
2.8833,25.66515396,25.77669328
2.8834,25.72685191,25.81841745
2.8835,25.78693604,25.85962958
2.8836,25.84475291,25.90104217
2.8837,25.8997899,25.94316711
2.8838,25.95171323,25.98627529
2.8839,26.00038386,26.03039082
2.884,26.04592985,26.07530749
2.8841,26.08874671,26.12053777
